#,tweet,sector,Pricing,Appointments,Medical Staff,Customer Service,Emergency Services
34,"@baderalmosaieed عملت موعد معكم بعد شهرين المحاوله ، عملت عيادتكم الفحصوات المطلوبه و لازلت في انتظار منسقتكم تعمل موعد معكم بعد اخذ تلك الفحوصات. مستشفي الحمادي غير مناسب وينقصه التنظيم.",private,3,0,3,0,3
35,@ALHAMMADI_HOSP السلام عليكم. لدي ملف بالعليا وذهبت للسويدي وحسب افادة مشرف العيادات بالفترة المسائية فانه لا بد لي ان ابداء من جديد فحوصات وتحاليل لاجل ان يتابع الدكتور حالتي مع العلم انه يقدر ان يدخل على رقم الملف ويطلع على كل شي حسب افادة العليا ام انه زيادة المدخول المادي,private,3,3,2,0,3
36,@ALHAMMADI_HOSP ابشركم بعد مرور 50 دقيقه حدثو التأمين  الحين انتظر عند الدكتور🙄 هذا مافيه زحمه بالصباح شكرا لكم,private,3,2,3,0,3
37,@ALHAMMADI_HOSP اتصل علشان اخذ موعد واطلب من الموظف اتصال المشرف يقول طيب وياخذ المعلومات ولا يجيني اي اتصال اي خدمات @MCgovSA  غش تجاري بالمستشفيات,private,3,0,3,0,3
38,@SehhatyApp انا اخذت موعد للقاح كورونا الجرعه 3 في مستشفى الحمادي ويوم وصلت للحمادي يقول اللقاح غير متوفر,private,3,0,3,0,3
39,@SaudiMOH937 السلام عليكم لو سمحت انا حجزت في مستشفى الحمادي الساعة 3.30 العصر وبعد ما ذهبت قال لنا ان اللقاح خلص اليوم وقالنا تعالوا بكرة الساعة 9 صباحا وانا عندي عمل ماذا افعل,private,3,0,3,0,3
40,@ALHAMMADI_HOSP سويت امس مسحة كورونا ولا ارسلتوا لي النتيجة!!! على ايش تاخذون فلوس؟!!! فعلا اسوأ مستشفى,private,0,3,3,0,3
41,@ALHAMMADI_HOSP مستشفى يعرض موظفينه للخطر وللحين فاتح عيادات خارجيه ويستقبل مرضى ولا مانع من إعطاء المرضى تصريح المرور وتكدس الموظفين بالاستقبال ولا اي إحترازات لماذا لم يطبقو نظام مكتب العمل٦٠٪من الراتب مكفلة به الدولة الله يعينهم الصراحه رحت وشفت كانه ايام عاديه ولايوجد وباء,private,3,0,0,0,3
42,@SaudiMOH رساله الي وزاره الصحه :  انا عندي مشكله صارت مع مستشفي الحمادي فرع النزهه ( السيء) اخاطب من انتم او الضمان الصحي,private,3,3,3,0,3
43,@ALHAMMADI_HOSP ارسلت مشكلتي ولا جاني منكم رد,private,3,3,3,0,3
44,@ALHAMMADI_HOSP  صار لي اسبوع بحاول احجز موعد في مستشفى الحمادي - السويدي من خلال التلفون. كل ما يفتح خط التلفون ويتم التحدث بيغلق الخط فورا. ايش المشكلة؟؟,private,3,3,3,0,3
45,@cchiksa عندي مشكله في مستشفي الحمادي فرع السويدي للاسف هناك اطباء لايعرفون الامانه ويضرونك ويضرون التامين انا عندي طفله عمرها حوالي ٤ سنوات راجعه طبيب اسنان  هناك ولاخلا ولابقي شي الا ماتحتاجه هالطفله ورفعنا للتامين واتت الموافقه علي تحملي ٨٠٠٠ والتامين ٢٠٠٠ ولكن لم اقتنع ... يتبع,private,0,3,0,3,3
46,أسوأ رعاية طبية تلقاها في مستشفى الحمادي لو بتموت تموت وتدفن والحمادي ماخلصوك  طواري مايستقبل من عند الباب يجبرك ع العيادات تروح للعيادات يدخلون خمسة جو بعدك بعذر عندهم موعد  ومريضك يتألم وعادي عندهم  وش الحل !!!.؟,private,3,3,3,0,0
47,"يؤسفني، ويؤلمني وبشده بل انه مؤلم ان اراء مجهودات وزارات  مجهودات دوله تهمش من مستشفى الحمادي تنومت ابنتي لاشتباه كورونا ماحز بنفسي أنني لم اتسال عن حياتها ولم تؤخذ ولو نقطه تقصي ومتابعه",private,3,3,0,0,3
48,@ALHAMMADI_HOSP  اتصلت في قسم المواعيد اربع مرات في اوقات مختلفه ومافي اي رد مع العلم كنت اتصل باي ويكون الرد بثواني ما ادري ايش صارلهم,private,3,3,3,0,3
49,@ALHAMMADI_HOSP  مستشفى الحمادي النزهه للأسف توقعنا بتكون الخدمه عندكم متميزه ولكن للأسف المستشفى جديد والخدمة سيئة والتعامل أسوى مقارنه بمستشفى الحبيب فرق كبير جدا  تواصلو معي وراح اعطيكم بعض الملاحظات اذا الموضوع جدوة الخدمه يهمكم,private,3,3,3,0,3
50,@SaudiMOH روحوا شوفوا مستشفى الحمادي في النزهه كيف يتعامل مع الناس اللي رايحة عشان اللقاح اهانات وقلة ادب الموضفين اللي عند الباب ومدير الامن بالذات وعدم احترام وعدم تنظيم ومخالفة اجراءات الاحترازية وتجمعات وتهديد للناس بانه والله مافي احد فيكم بياخد اللقاح والناس كلها صورت,private,3,3,3,0,3
51,@ALHAMMADI_HOSP  هل يعقل قيمة سرير المرافق بسعر فندق ٥ نجوم وفي الاخير مرتبة السرير عبارة عن حديد!!  ظهري سار مرسوم مثلثات مثل الصورة   خذ ما تريد ولكن اعطنا مقابل له  https://t.co/1lD02720ZZ,private,0,3,3,0,3
52,"تم اخراج طفلتي من مستشفى الحمادي (ICU) بحجة عدم تغطية التامين،تم توفير تامين للطفلة وتم الرفض من قبل شركة التامين بحجة لايوجد طلب من المستشفى! احمل مستشفى الحمادي وبوبا كامل المسؤولية الصحية والقانونية امام الجهات المعنية @cchiksa @SaudiMOH937 @BupaArabia @loaynazer @DrSafug",private,0,3,3,0,3
53,@ALHAMMADI_HOSP للاسف صرتو من أسوأ المستشفيات مازلتو عايشين بالتسعينات مكانك سر  اتوقع حتى ادارة تقنية معلومات مافيه عندكم واذا فيه فهي مصيييييه,private,3,3,3,0,3
54,مستشفى الحمادي فرع النزهة بالرياض اسوأ تجربة راح يمر فيها المريض والمرافق حتى الزائر,private,3,3,3,3,3
55,@cchiksa انا الان في مستشفى الحمادي فرع النزهه لي اكثر من ساعه وللأسف جتني ممرضه تقول الشاش خلص رح اشتره من برا   مع العلم اني دافع كشف وعندي تأمين الحاله مجرد غيار على حرق,private,3,3,0,0,3
56,@ALHAMMADI_HOSP حرام المبنى الجديد ولايوجد فيه جوده خدمه الانتظار والانظمه عطلانه في الصيدلية والنداء عشوائي للاسف الزياره السادسة له ولكن يوجد سوء تنظيم,private,3,3,3,0,3
57,@Fology مستشفى الحمادي وخدمتهم 😂 خلاص خابزه كل تصريفاتهم وحركاتهم,private,3,3,3,0,3
58,@ALHAMMADI_HOSP مستشفى سئ جدا وخدمه سيئه وموظفينه نفسيات,private,3,3,3,0,3
59,@ALHAMMADI_HOSP السلام عليكم شوفو لكم حل عشان نصرف دواء نجلس ساعة ولا في الا ثلاث شبابيك بس ؟؟؟ المستشفيات الحكومية صارت اهون واسرع وارتب,private,3,3,3,0,3
60,@ALHAMMADI_HOSP باذن الله الشكوى تنرفع لصحه اجي ماحصل لقاح ونا عندي موعد,private,3,0,3,0,3
61,"@ALHAMMADI_HOSP السلام عليكم، لي ثلاث ايام احاول اتواصل مع علاقات المرضى باوقات مختلفة مافيه رد، ولما اتصل على الشكاوي برضو لا حياة لمن تنادي، يا اخوان ترا انا جاي اراجع عن مشكلة صحية مستعجلة مو طلب مطعم",private,3,0,3,0,3
62,@ALHAMMADI_HOSP السلام عليكم اسوء مستشفى من ناحية الخدمة تم توصيف حالتي خطاء وبعد ذالك تم صرف علاج لي من قبل الدكتور ولَم يكن كامل العلاج يشمل التامين وتم توضيح ذالك وبان ما يشمله التامين من علاج غير موجود الان فتم اخذ رقم جوالي لتواصل فور وصول العلاج ولكن لمدة ثلاث ايّام,private,3,3,0,0,3
63,@ALHAMMADI_HOSP السلام عليكم احوال اسوي موعد عبر موقعكم ويظهر لي الخطأ الموضح بالصورة .. بالرغم من اني اختار القسم ! والهاتف ما تردون .. ما الحل ؟,private,3,0,3,0,3
64,@ALHAMMADI_HOSP اتمنى منكم  الاطلاع على الاهمال من قبل الممرضات والاقسام اتواصل مع المدير المناوب دون اي رد @saudimci,private,3,3,0,0,3
65,@ALHAMMADI_HOSP ليه ماحد يرد ابي اتاكد من الموعد ماجاني اتصال ولا رساله !!,private,3,3,3,0,3
66,@cchiksa السلام عليكم مستشفى الحمادي فرع السويدي لا يوفر موظفين بشكل كافي لسحب عينات الدم وذلك بشكل دائم... ويمكنكم التحقق بالزياره المستشفى. كيف يمكن تقديم شكوى بغرض تحسين الاداء @ALHAMMADI_HOSP @cpaksa,private,3,3,0,0,3
67,مستشفى الحمادي اكثر مستشفى يجيب الغلقة حتى لو انك جايه بعافيتك من تدخله تنمرض,private,3,3,3,3,3
68,"@ALHAMMADI_HOSP الوضع في الحمادي سيء جدا خصوصا فرع السويدي لمن يتم تحويلهم من العيادات الخارجية لاخذ مغذي او علاج بالوريد،،، غرفه وحده فقط وزحمه وانتظار طويل وازعاج،،، مافي مراعاة للمرضى ابداً",private,3,3,3,0,3
69,@SaudiMOH #مستشفى_الحمادي_العليا لايوجد عندهم تنظيم لاخذ اللقاح غير انه الموظفين تعاملهم سئ جدا مع المراجعين بطريقه مستفزه,private,3,3,3,0,3
70,@SaudiMOH  كيف تعطى مستشفى الحمادى السويدى عينة الدم لاهل مريضة بالكورونا فى يديه وتطلب منهم ان يذهبوا ليحللوها فى معمل فى خارج المستشفى. والله يجب غلق هذه المستشفى حالا .. اين الرقابة !!!,private,3,3,0,0,3
71,@ALHAMMADI_HOSP  المواعيد عن طريق الموقع حكم معطل ياليت تشوفون حل بعض مرضاكم من ذوي الاحتياجات الخاصة ما يقدر يتصل عشان ياخذ موعد يا ليت تساعدونا,private,3,0,3,0,3
72,@ALHAMMADI_HOSP اخذتو منا مسحه ولنا ايام نبي نعرف النتيجه هل لازم نسوي بلاغ عليكم ولا ايش ويجيني الاستقبال يقول بعد عشر ايام النتيجه الوزاره محدده الايام ليش كذا,private,3,3,3,0,3
73,انا امراءه مسنه وعندي سكر وضغط والتهاب في الاعصاب وربو واراجع في مستشفى الحمادي وعلاجي خلص واتصلت فيهم لصرف العلاج ورفضوا قالوا لازم حضورك وانا اخاف اروح اتصلت بمنصة وصفتي قالوا ماتسجلتي عندنا واتصلت بالرقم ٩٣٧ قالوا ماعندنا حل ماذا اتصرف اقعد بدون علاج او ماذا,private,3,0,3,0,3
74,سعادة الوزير @tfrabiah_x000D_معقول يدخل مريض يعاني من التهاب رئوي حاد ويصنّف بغرف العزل وتتنظف غرفته بهذه المكنسة اعتذر عن الصورة حتى أضعها اترددت احتراما للمتابعين هذه المكنسة لو في بيتي ماكنست فيها حتى السطح كيف مستشفى من أكبر المستشفيات في الرياض توصل لهذا الاستهتار ؟#مستشفى_الحمادي  https://t.co/ytsAWy218q,private,3,3,3,0,0
75,@ALHAMMADI_HOSP خدمتكم صارت سئة جدا الموافقة أجت من التأمين وأقعد ساعه عشان تجي من الحمادي 😡😡,private,3,3,3,0,3
76,@HMG_Care يشهد الله اني اليوم اضطريت لطواريء #مستشفى_الحمادي ولاحظت الفرق مستشفى الحبيب اكاد اجزم ان لا احد يستطيع الوصول لمستواه!!! حتى موظفي ستاربكس غير كأن جميع موظفي الحبيب تلقوا التدريب نفسه!الحمادي برود في الخدمة ولاعلم في التعامل مع العملاء موظفين بلداء لايليقون بالطواريء!,private,3,3,3,0,2
77,@ALHAMMADI_HOSP ياااخي فرعكم اللي في السويدي من اسوء المستشفيات التي رأيت قمة في الاستهتار.. صار لنا خطأ طبي وقدمنا شكوى لقسم الشكاوي ولما تابعنا الشكوى قالو لنا ان الشكوى اغلقت بدون اخطارنا بذلك حتى . حسبنا الله ونعم الوكيل على الطبيب اللي سوا الخطأ وان شالله سنتوجه للجهات الرسمية,private,3,3,0,0,2
78,@ALHAMMADI_HOSP مع الاسف مستشفى الحمادي من اسواء المستشفيات  من جميع النواحي وسمعتة سيئة,private,3,3,3,3,3
79,@ALHAMMADI_HOSP مساء الخير كيف الحال اخواني انا لي اكثر من نص ساعة و انتظر احد من الممرضات تجي تأخذ مسحة كاورونا ايش الخدمة ذي اول مرة اجي المستشفى و اخر مرة سوء تعامل كل ما قلت احد شي قالوا الممرضات اخذينها في قسم ثاني,private,3,0,0,0,3
80,@ALHAMMADI_HOSP فرع السويدي من اسوء الفروع لمستشفى الحمادي حيث انني اتيت ولم اتلقى اي عنايه وحيث انا المستشفى مليئ بصراصير اين وزارة الصحه عن ما يحدث  https://t.co/HFAWF0m3Cj,private,3,3,0,0,3
81,@ALHAMMADI_HOSP الطورئ دكتور اطفال واحد وزحمه  تجربه سيئه وان شالله تكون اخر زياره,private,3,3,0,0,0
82,"@Ask_Alriyadh1 اهم اهم اهم شي روح/ي دكتور كويس ..، وحده م صحباتي امها سوت هالعملية ب مستشفى الحمادي وللاسف حصل خطأ طبي وماتت 😞، عشان كذا انتقي الدكتور والمستشفى ب ""عناية""",private,3,3,0,3,3
83,@see_moone في مستشفى الحمادي كان لديهم طبيب استشاري مسالك بولية جنسيته ليبي اجرى عمليات لبعض المرضى باءت بالفشل كان أحد هؤلاء المرضى شقيقي وبعض المرضى كاد يسبب لهم فشل كلوي وحين بدا بعض المرضى مطالبته قام المستشفى بإنهاء خدمته وتسفيره,private,3,3,0,3,3
84,@ALHAMMADI_HOSP   خدمة العملاء عندكم سيئة جددددداً مو معقوله كل مرا اتصل محد يرد او اللي ترد تحولني علئ وحده ماترد !!,private,3,3,3,0,3
85,@ALHAMMADI_HOSP الاستقبال في طواري السويدي الان واحد فقط هل يعقل ذلك لمستشفى في هذا الحجم ماذا لو قدر الله وكثر المراجعين او حدث حادثه,private,3,3,3,3,0
86,"@ALHAMMADI_HOSP مستشفى ضخم لكن متخلف وادارة سيئة جدا""!. لا موقع اليكتروني زي الناس ولا يوجد لديكم تطبيق للجوالات، ورقم هاتفكم يتغير كل شوي، وكادر طبي وإداري بلغ بهم العمر عتيا! يوجد مستشفى صغبر اسمه @AldaraMed حديث الافتتاح، تعلمو منه فن الادارة الحديثة رجاءا"".",private,3,3,0,0,3
87,@ALHAMMADI_HOSP خلص رمضان وخلص العيد وانتم على وضعكم لازم في مراجعة شكوى لوزارة الصحة ولا المريض العادي ما ياخذ حقه الطبيعي في موعد طبيعي زي العالم والناس #تسيب الارقام والتحويلات زي عدمها لكن بما ان فيه وزارة الصحة فهي راح تاخذ حقي منكم  ولو استعنت فيهم في كل موعد مراح اقصر #حقي_اخذه_كامل,private,3,0,3,0,3
88,@ALHAMMADI_HOSP مستشفي ليس مناحبة ألطاقم الطبي أو العناية المركزة بل من ناحية المبني لان ليس لهم أي تصنيف بالطب أو   العناية الطبية للاسف . اتكلم عن مريض يدخل المستشفى من الطوارئ الي العناية المركزة فعلا حرام هذا المساحة بدون روح تعج بشفاء المرضي بل علي العكس تزويدهم مرض,private,3,3,0,3,0
89,@ALHAMMADI_HOSP يا اخي ماهذا السوء الذي تتعاملون بعده مع مرضاكم اتصلت اكثر من عشرين مره على قسم المواعيد في العليا يرفعون السماعه وبعد ذلك يغلقونها دون رد اهكذا يكون التعامل في هذه اللحظات تم هذا الامر,private,3,3,3,0,3
90,@ALHAMMADI_HOSP   السلام عليكم... اتمنى تمنعون الجوالات من الموظفين في وقت العمل....  خاصتا موظفين الاستقبال....,private,3,3,3,0,3
91,"@SaudiMOH السلام عليكم!  حدثت مشكلة كبيرة خارج مستشفى الحمادي بالسويدى في رياض بسبب حشد كبير من الناس دون تباعد فى انتظار اللقاح.  لسوء الحظ ، من الصباح حتى الساعة 3 مساءً ، لم يتم تلقيح هؤلاء الأشخاص.  كانت هناك مشكلات في نظام مواعيد اللقاحات سبب قبولها خانات زمنية غير محدودة.",private,3,0,3,0,3
92,@ALHAMMADI_HOSP الان مازلت في الانتظار والممرضة قالت لي انتظر لأنك جيت متأخر !!!,private,3,0,3,3,3
93,@ALHAMMADI_HOSP لدي شكوي قدمتها الي الاستاذ عبدالله ال عثمان مدير مكتب المدير ووعدني بالحل ولكن مر الان اكثر من شهر ولم يصلني اي اتصل والا حل ولا اعتذار هل ياتري هذه قيمة العميل لديكم للاسف شي مؤسف ان يكون مستوي الحمادي وصل لهذا المستوي,private,3,3,3,0,3
94,ماهمهم صحة المريض (جدتي)!!! #مستشفى_الحمادي_ينتهك_حقوق_الانسان  https://t.co/xxd7V29k18,private,3,3,0,0,3
95,@zeprx_kaz @emara_riyadh @Amanatalriyadh @kamnapp @SaudiMOH @ALHAMMADI_HOSP مستشفى الحمادي من برا الله الله ومن الداخل يعلم الله,private,3,3,3,3,3
96,@SaudiMOH يا أسفي على مستشفى الحمادي كنت أفتكر ضخم ومرتب إلى هاذي الدرجه يستهين بلاحترازات الوقائية ومجلس الناس في الشمس حسبي الله ونعم الوكيل,private,3,3,3,0,3
97,"#مستشفى_الحمادي_بالسويدي  ١٥ رمضان  عدم الاهتمام والالتزام بالمواعيد من قبل المستشفى و باجراءات الاحترازية  بعد شهر حصلت الموعد عن طريق #تطبيق_صحتي وهذي اخرتها، (تجمعات)؟ وين التباعد؟؟ مدري اباخذ كورونا ولا اللقاح؟؟؟  منظر مخيف @SaudiMOH @SaudiNews50  https://t.co/2s5ZfkZEWJ",private,3,0,3,0,3
